,Title,Author/Info
116,"The Killing Moon: Dreamblood, Book 1",N.K. Jemisin
117,Shambling Guide to New York City,", by Mur Lafferty, and narrated by Mur, too."
118,"Vortex: Insignia, Book 2",S.J. Kincaid
119,The Gift of Fear: And Other Survival Signals That Protect Us From Violence,Gavin de Becker
120,"The Martian,",Andy Weir
121,Valour and Vanity,", by Mary Robinette Kowal, and narrated by Mary, too!"
122,Monstrous Regiment,Terry Pratchett
123,Jonathan Strange and Mr. Norrell,Susanna Clarke
124,The Fall of the Kings,Ellen Kushner and Delia Sherman
125,Extraordinary Zoology: Tales from the Monsternomicon,Howard Tayler
126,The Hero’s Guide to Saving Your Kingdom,Christopher Healy and Todd Harris
127,The Butcher of Khardov: The Warcaster Chronicles Volume 2,Dan Wells
128,The Republic of Thieves,Scott Lynch
129,"I, Robot",Isaac Asimov
130,"Even White Trash Zombies Get the Blues,",Diana Rowland
131,Rip-Off!," Written by: John Scalzi, Jack Campbell, Mike Resnick, Allen Steele, Lavie Tidhar, Nancy Kress, Gardner Dozois (editor)
Narrated by: Wil Wheaton, Scott Brick, Christian Rummel, Jonathan Davis, Stefan Rudnicki, L. J. Ganser, Khristine Hvam"
132,The Firebird,Susanna Kearsley
133,The Blue Sword,Robin McKinley
134,Attack the Geek,Michael R. Underwood
135,"The City & The City,",China Mieville
136,Unfettered: Tales by Masters of Fantasy,", Written by: Terry Brooks, Patrick Rothfuss, Robert Jordan, Jacqueline Carey, R.A. Salvatore, Naomi Novik, Peter V. Brett, Shawn Speakman (editor)
Narrated by: Peter Ganim, Marc Vietor, Bronson Pinchot, Jay Snyder"
137,The Night Circus,Erin Morgenstern
138,Spellcaster,Claudia Gray
139,The Goblin Emperor,Katherine Addisson
140,"The Hum and the Shiver,",Alex Bledsoe
141,"Dreams of Gods and Monsters: Daughter of Smoke and Bone, Book 3",Laini Taylor
142,The Saint: The Original Sinners Book 5,Tiffany Reisz
143,The Ghosts of Belfast,", by Stuart Neville,  narrated by Gerard Doyle"
144,"Four Years, Five Seasons",Peter S. Beagle
145,The Name of the Wind,Patrick Rothfuss
146,The Fairy-Tale Detectives: The Sisters Grimm,Michael Buckley
147,The Rook,Daniel O’Malley
148,Ruins,Dan Wells
149,Angelmaker,Nick Harkaway
150,A Night of Blacker Darkness: Being the Memoir of Frederick Whithers As Edited by Cecil G. Bagsworth III,Dan Wells
151,Legion: Skin Deep,Brandon Sanderson
152,"Consider the Fork: A History of How We Cook and Eat,",Bee Wilson
153,Lock In,John Scalzi
154,Shipstar,Gregory Benford and Larry Niven
155,Maplecroft,Cherie Priest
156,"City of Stairs,",Robert Jackson Bennett
157,Wolf Hall,Hilary Mantel
158,Three Parts Dead,Max Gladstone
159,"The Splendour Falls,",Susanna Kearsley
160,Furies of Calderon,Jim Butcher
161,Ancillary Justice,Anne Leckie
162,The Man in the High Castle,", by Phillip K. Dick, which was available on Audible when we recorded this episode, but which is NOT available as of this write-up."
163,The Hero’s Guide to Storming the Castle,Christopher Healy
164,The Immortal Life of Henrietta Lacks,Rebecca Skloot
165,"Words of Radiance, ",Brandon Sanderson
166,"The Three-Body Problem,","Cixin Liu, translated by Ken Liu"
167,The Rebirths of Tao,", by Wesley Chu, isn’t available yet on Audible, but the first book in the trilogy, The Lives of Tao is."
168,The Golem and the Jinni,Helen Wecker
169,The Shepherdess of Sienna: A Novel of Renaissance Tuscany,Linda Lafferty
170,"Stormdancer: The Lotus War, Book One",Jay Kristoff
171,A Spy in the House: The Agency 1,Y.S. Lee
172,"The Autumn Republic, by Brian McClellan",
173,A Wilder Rose,Susan Wittig Albert
174,Of Noble Family,Mary Robinette Kowal
175,The Unhappening of Genesis Lee,Shallee McArthur
176,Uprooted,Naomi Novik
177,The Devil’s Only Friend,Dan Wells
178,Perfume: The Story of a Murderer,Patrick Süskind
179,"The Goblin Emperor,",Katherine Addison
180,The Winner’s Curse,Marie Rutkowski
181,"The Edge of the World: Terra Incognita, Book 1,",Kevin J. Anderson
182,The Summer Prince,Alaya Dawn Johnson
183,Time Salvager,Wesley Chu
184,Seveneves: A Novel,Neal Stephenson
185,A Natural History of Dragons: A Memoir by Lady Trent,Marie Brennan
186,"Nothing to Envy: Ordinary Lives in North Korea, ",Barbara Demick
187,I Am Princess X,Cherie Priest
188,A Darker Shade of Magic,V. E. Schwab
189,Wolf Hall,Hilary Mantel
190,Clockwork Angels,Kevin J. Anderson
191,Sister Mine,Nalo Hopkinson
192,The Merchant Adventurer,", written and narrated by Patrick E. McLean"
193,Shadows of Self,Brandon Sanderson
194,The Freedom Maze,Delia Sherman
195,Off To Be The Wizard,Scott Meyer
196,The Mirror Empire: Worldbreaker Saga,Kameron Hurley
197,Swordspoint: A Melodrama of Manners,", by Ellen Kushner"
198,Blindsight,Peter Watts
199,The Devil’s Only Friend,Dan Wells
200,"Half-Resurrection Blues: Bone Street Rumba, Book 1",", written and narrated by Daniel José Older."
201,"The Providence of Fire: Chronicles of the Unhewn Throne, book 2",Brian Staveley
202,Mystic,Jason Denzel
203,The Cloud Roads,Martha Wells
204,Lost Stars,Claudia Gray
205,My Name is Red,Orhan Pamuk
206,Word Puppets,Mary Robinette Kowal
207,Sorcerer to the Crown,Zen Cho
208,Perdido Street Station,", By China Mieville, narrated by John Lee"
209,The Wright Brothers,", written and narrated by David McCullough"
210,Court of Fives,"Kate Elliott, narrated by Georgia Dolenz, and Prudence, by Gail Carriger"
211,Bands of Mourning,Brandon Sanderson
212,Shadowguard,Gama Ray Martinez
213,Dead Men Don’t Cry,Nancy Fulda
214,Strangers,Michaelbrent Collings
215,The Watchmaker of Filigree Street,Natasha Pulley
216,"The Goose Girl,",Shannon Hale
217,Leviathan Wakes,James S.A. Corey
218,Solar Express,"L.E. Modesitt, Jr"
219,The Shootout Solution: Genrenauts Episode 1,Michael R. Underwood
220,Alif the Unseen,G. Willow Wilson
221,Residue,Steve Diamond
222,Bluescreen,Dan Wells
223,"Swan Song,",Robert McCammon
224,I Am Legend,Richard Matheson
225,"Women Destroy Science Fiction!: Lightspeed Magazine Special Issue, ",edited by Christie Yant
226,Mrs Roosevelt’s Confidante,Susan Elijah McNeil
227,Mrs. Frisbee and the Rats of NIMH,Robert O’Brian
228,Thud,Terry Pratchett
229,I Am Princess X,Cherie Priest
230,Patriot Games,Tom Clancy
231,"“You’ll Surely Drown Here If You Stay,”"," by Alyssa Wong, which is available to read here."
232,Planetfall,Emma Newman
233,Javelin Rain,Myke Cole
234,The City of the Future,", edited by Trina Marie Phillips"
235,Death by Cliché,", by Robert J. Defendi"
236,Ghost Talkers,", by Mary Robinette Kowal, and also narrated by Mary"
237,Force Multiplication: Schlock Mercenary Book 12,", by Howard Tayler, Travis Walton, Sandra Tayler, and Natalie Barahona, with an introduction by Mary Robinette Kowal"
238,A Darker Shade of Magic,", by V.E. Schwab"
239,Beyond Heaving Bosoms: The Smart Bitches Guide to Romance Novels,", by Sarah Wendell and Candy Tan"
240,Child of the Wilde,", by Gama Martinez"
241,And I Darken,Kiersten White
242,California Bones,", by Greg VanEekhout"
243,Ink and Ashes,", by  Valynne E. Maetani"
244,he Starlit Wood: New Fairy Tales,"T, edited by Navah Wolfe (available October 18th, 2016. No audio version available yet.)"
245,Hex,", by Thomas Olde Huevelt"
246,Ghost Talkers,Mary Robinette Kowal
247,Ghost Summer,", by Tananarive Due"
248,Hex,", by Thomas Oldehuveldt"
249,The Thin Executioner,", by Darren Shan"
250,The Voices of the Martyrs,", by Maurice Broaddus (audiobook not yet available)"
251,Extreme Makeover,Dan Wells
252,Everfair,Nisi Shawl
253,Twelve Days,", by Steven Barnes"
254,Gift Child,", by Janci Patterson"
255,Karen Memory,Elizabeth Bear
256,Uncanny Magazine,", edited by Lynne M. Thomas and Michael Damien Thomas"
257,The Shootout Solution (Genrenauts Episode 1),", by Michael R. Underwood"
258,Heroine Complex,", by Sarah Kuhn"
259,A Million Worlds With You,Claudia Gray
260,The Star-Touched Queen,Roshani Chokshi
261,"Perennial,", by Mary Anne Mohanraj
262,In the Cube,", by David Alexander Smith (out of print, but available used)"
263,Absolute Trust,", by Piper J. Drake"
264,Midnight’s Children,", by Salman Rushdie (print and ebook available here)"
265,Sorcerer to the Crown,Zen Cho
266,Amberlough,", by Lara Elena Donnelly"
267,Ghost Summer,"“Summer“, by Tananarive Due, which you can find in the  collection."
268,"Ones and Zeroes: Mirador, Book 2",", by Dan Wells"
269,"The Inklings: C.S. Lewis, J.R.R. Tolkien, and Their Friends",", by Humphrey Carpenter"
270,Sins of Empire, by Brian McCellan
271,"How to Recognize a Demon Has Become Your Friend,", by Linda Addison
272,"The Devil’s Daughter: Hidden Sins Book 1,",Katee Robert
273,"Tea & Jeopardy: A GeekPlanetOnline Community Podcast,", by Emma Newman and Peter Newman
274,"Jed and the Junkyard War,", by Steven Bohls
275,The Complex,", by Brian Keene"
276,"Wayward, Volume 1,"," by Jim Zub (writer),  Steven Cummings (Illustrator), John Rauch (Illustrator), and Tamra Bonvillain (Illustrator)"
277,The Row,", by J.R. Johannsen"
278,Hardcore History," (podcast), with Dan Carlin (note: this podcast has a rolling paywall. The sooner you subscribe, the more you’ll have access to when you get around to listening.)"
279,"City of Miracles,", by Robert Jackson Bennett
280,The Buried Life,", by Carrie Patel"
281,Nothing Left to Lose,", by Dan Wells"
282,"Code Name Verity,",Elizabeth Wein
283,"An Astronaut’s Guide to Life on Earth: What Going to Space Taught Me About Ingenuity, Determination, and Being Prepared for Anything,",Chris Hadfield
284,"Vicious,",V. E. Schwab
285,Contracted Defense,", by Piper J. Drake"
286,Seventy Maxims of Maximally Effective Mercenaries,", by Howard Tayler
(Note: the book is shipping now to Kickstarter backers. You can order it now via Backerkit, but it won’t appear at Amazon or the Schlock Mercenary store until August.)"
287,Plea,"“,” by Mary Anne Mohanraj"
288,The Savage Dead,", by Joe McKinney"
289,"Nexus,", by Ramez Naam
290,Shutter,", by Courtney Alameda"
291,¹ Available in the Hugo Voter packet,The 2017 Hugo nominees for Best Short Story:
292,Ghost Talkers, by Mary Robinette Kowal
293,"Operation Endgame, Book 6 of the Ministry of Peculiar Occurences",", by Tee Morris and Pip Ballantine"
294,"A Red Peace,"," by Spencer Ellsworth,"
295,Hazardous Tales, by Nathan Hale
296,Survivor, edited by Mary Anne Mohanraj and JJ Pionke (coming soon from Lethe Press)
297,Through Fire,", by Sarah Hoyt, and Neither Here Nor There, a collection from Cat Rambo"
298,"Called to Battle, Volume 2  ",“Mind over Matter” by Howard Tayler (from from Privateer Press.)
299,Memory of Water, by Emmi Itäranta
300,The Incredible Adventures of Cinnamon Girl, by Melissa Keil
301,Tiny Frontiers,", from Gallant Knight Games and Alan Bahr"
302,Every Heart a Doorway,", by Seanan McGuire"
303,The Night Circus, by Erin Morgenstern
304,The Adventures of Dr. McNinja,", by Christopher Hastings"
305,The Lost Book of the White,NOTE:  by Wesley Chu and Cassandra Claire has been retitled and rescheduled. You should (eventually) be looking for:
306,Boilerplate, by Paul Guinan and Anina Bennett
307,"Hungry Ghosts,", by Stephen Blackmoore
308,"The Butcher of Khardov,", by Dan Wells
309,Oathbringer,", by Brandon Sanderson"
310,Always Coming Home, by Ursula Le Guin
311,The Diabolic,", by SJ Kincaid"
312,"Ladycastle, ","by Delilah Dawson, Illustrated by Ashley A. Woods and Rebecca Farrow"
